filename,course_name,final_exam,midterm_tests,quizzes,project,participation,other,total_weight,parse_status
file_38.pdf,CALCULUS 1,40,35,0,0,10,15,100,ok
file_39.pdf,LINEAR ALGEBRA,40,30,0,15,15,0,100,ok
file_40.pdf,DISCRETE MATHEMATICS,40,40,0,0,20,0,100,ok
file_41.pdf,GEOMETRY,40,30,0,15,15,0,100,ok
file_42.pdf,COMPUTER PROGRAMMING 1,30,30,0,30,10,0,100,ok
file_43.pdf,CALCULUS 2,35,35,0,15,15,0,100,ok
file_44.pdf,COMPUTER PROGRAMMING 2,40,0,0,20,10,30,100,ok
file_45.pdf,PROBABILITY AND STATISTICS,0,30,0,0,0,70,100,ok
file_46.pdf,DATA BASES,35,25,0,15,10,15,100,ok
file_47.pdf,DATA VISUALIZATION,0,30,0,0,10,60,100,ok
file_48.pdf,IE HUMANITIES,60,40,0,0,0,0,100,ok
file_49.pdf,ORDINARY DIFFERENTIAL EQUATIONS,50,30,0,0,5,15,100,ok
file_50.pdf,NUMERICAL METHODS,40,35,0,0,10,15,100,ok
file_51.pdf,OPTIMIZATION I,40,30,0,15,15,0,100,ok
file_52.pdf,MACHINE LEARNING,40,20,10,15,15,0,100,ok
file_53.pdf,COMMUNICATION SKILLS,0,0,0,0,20,80,100,ok
file_55.pdf,MATHEMATICAL MODELING,40,20,0,0,0,40,100,ok
file_56.pdf,APPROXIMATION,30,40,0,0,10,20,100,ok
file_57.pdf,STATISTICAL MODELING,30,30,0,10,10,20,100,ok
file_58.pdf,OPTIMIZATION II,30,40,0,15,15,0,100,ok
file_59.pdf,ENTREPRENEURSHIP,0,0,0,50,25,25,100,ok
file_60.pdf,PARTIAL DIFFERENTIAL EQUATIONS,50,30,0,10,10,0,100,ok
file_61.pdf,ALGORITHMS,50,25,0,0,10,15,100,ok
file_62.pdf,OPTIMIZATION III,45,25,0,20,10,0,100,ok
file_63.pdf,NUMERICAL LINEAR ALGEBRA,50,25,0,15,10,0,100,ok
file_64.pdf,BAYESIAN STATISTICS AND STOCHASTIC,30,30,15,0,5,20,100,ok
file_65.pdf,NONLINEAR DYNAMICS,40,30,0,25,5,0,100,ok
file_66.pdf,DEEP LEARNING,40,30,0,20,10,0,100,ok
